 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,6,0,0,5,38,32,34,73,29,59,116,110,149,239,213,157,222,211,224,267,212,185,205,193,181,126,95,67,93,40,39,13,24,24,12,8,4,6,0,3711,1.17945,0.00626839
10.1.2.2,3,0,0,21,22,21,26,30,36,41,60,103,124,115,174,192,247,233,233,301,191,271,226,227,114,158,135,131,73,80,26,26,35,38,10,7,4,0,0,0,3734,1.17611,0.00646545
10.1.3.2,0,6,0,10,9,19,37,24,49,65,72,87,144,158,175,246,201,256,216,229,218,147,204,239,115,201,112,110,54,99,85,37,28,34,16,10,5,3,5,0,3725,1.18017,0.00612046
10.1.4.2,3,5,0,0,35,22,30,56,45,58,116,106,105,184,165,205,200,239,175,285,244,163,167,179,174,101,120,119,77,84,78,43,37,31,17,14,0,9,0,0,3691,1.17856,0.00623843
10.1.5.2,5,4,15,32,0,25,33,26,57,42,92,86,115,149,156,175,165,211,292,235,234,232,245,170,131,129,97,135,66,88,58,59,43,21,30,11,6,4,0,0,3674,1.17898,0.00614649
10.1.6.2,4,6,9,0,13,0,23,46,38,79,72,117,130,194,146,186,271,235,191,203,212,214,233,224,156,125,101,111,89,47,55,44,28,46,11,20,0,3,6,0,3688,1.17834,0.00615207
10.1.7.2,0,6,0,11,10,18,0,29,50,141,97,87,108,158,170,231,186,210,256,196,287,270,148,207,126,157,72,108,85,63,74,42,28,8,18,19,9,0,0,0,3685,1.1787,0.00654992
10.1.8.2,0,10,12,3,15,17,53,0,35,60,76,126,114,158,186,143,192,260,172,207,216,193,245,235,138,134,165,138,103,81,68,24,63,30,38,18,6,10,0,0,3744,1.17916,0.0061291
10.1.9.2,3,0,9,13,29,17,53,52,0,76,78,110,132,169,144,215,216,243,232,215,224,252,184,176,164,120,178,89,57,44,59,24,44,23,35,14,0,10,15,0,3718,1.18597,0.00633537
10.1.10.2,9,0,12,0,26,37,36,36,49,0,83,85,129,146,189,132,258,210,203,218,227,245,232,200,165,133,130,89,102,79,39,55,43,16,21,22,9,16,0,0,3681,1.18206,0.00647287
10.1.11.2,0,4,9,4,16,28,42,55,84,82,0,102,131,133,149,187,201,183,239,236,200,265,218,190,152,153,144,121,119,86,54,74,26,28,10,4,6,0,0,0,3735,1.17922,0.00667617
10.1.12.2,5,0,4,6,11,21,24,45,49,69,90,0,141,186,119,223,239,228,228,211,209,229,162,191,180,149,195,125,108,75,66,68,43,18,25,9,15,3,0,0,3769,1.18143,0.00657697
10.1.13.2,0,13,0,6,11,8,13,49,45,74,97,81,0,184,230,174,200,270,199,221,214,304,233,183,177,133,153,116,90,90,35,46,27,34,11,0,0,0,14,0,3735,1.18025,0.00632377
10.1.14.2,9,13,9,0,6,22,26,47,54,102,74,146,91,0,198,233,210,232,167,262,214,211,234,190,227,145,116,145,57,62,70,41,36,25,22,4,8,4,0,0,3712,1.18267,0.00646473
10.1.15.2,6,0,12,0,17,30,25,34,74,69,80,108,115,140,0,199,279,203,258,187,254,160,271,207,134,203,142,165,91,47,46,28,29,15,19,9,22,5,0,0,3683,1.18507,0.00645838
10.1.16.2,0,9,16,5,13,14,42,80,63,88,50,147,128,124,199,0,230,206,219,316,222,266,243,184,182,115,115,72,64,64,32,66,37,10,5,36,3,4,0,0,3669,1.18387,0.00648684
10.1.17.2,3,0,0,20,22,12,46,64,50,93,73,67,136,140,220,201,0,234,223,259,228,223,197,261,195,171,104,104,101,96,43,39,30,32,25,7,5,7,3,0,3734,1.18544,0.00648324
10.1.18.2,7,14,12,10,10,25,30,32,30,99,133,77,135,191,201,245,250,0,217,289,221,177,227,171,148,147,135,85,91,71,37,37,52,25,9,11,0,3,0,0,3654,1.18698,0.00638493
10.1.19.2,5,3,0,4,9,18,57,31,55,75,83,139,142,117,189,182,198,189,0,314,181,261,213,218,181,195,101,139,91,72,96,22,50,10,15,18,11,3,11,0,3698,1.18675,0.00646021
10.1.20.2,11,0,12,26,24,15,28,30,57,48,70,139,128,197,218,229,242,223,231,0,294,197,223,194,139,124,120,63,75,67,66,62,35,17,24,34,10,0,22,0,3694,1.18547,0.00642998
10.1.21.2,8,0,13,6,15,17,20,63,32,65,107,107,120,131,162,241,243,225,245,259,0,209,231,204,188,171,120,85,78,95,59,35,16,20,14,5,8,4,0,0,3621,1.18665,0.00663728
10.1.22.2,0,4,6,16,17,40,26,34,60,45,115,93,125,160,206,208,245,217,216,247,218,0,191,237,184,175,98,104,90,63,63,34,41,29,14,0,12,10,0,0,3643,1.18635,0.00653291
10.1.23.2,10,3,12,8,14,17,41,23,88,78,107,87,156,152,156,184,183,209,232,252,285,288,0,219,230,132,128,81,83,92,64,54,25,22,4,10,3,4,6,0,3742,1.18355,0.00680339
10.1.24.2,0,12,10,25,8,33,43,67,26,87,90,124,200,161,174,161,294,191,209,233,207,190,211,0,170,95,120,147,94,100,46,44,41,28,17,15,0,0,8,0,3681,1.18762,0.00660447
