 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,0,0,16,20,36,23,47,59,63,114,128,165,111,167,194,195,243,246,226,226,227,197,156,186,149,103,118,91,33,45,45,46,18,16,0,12,0,8,0,3729,1.58363,5.99568
10.1.2.2,0,0,0,12,23,22,31,41,33,65,106,104,103,151,181,177,258,233,180,180,224,270,224,188,178,169,97,117,98,56,56,58,27,24,16,0,5,0,3,0,3710,1.51228,5.4872
10.1.3.2,0,0,0,3,6,28,15,39,79,77,94,110,90,159,209,189,284,169,223,226,248,267,204,180,138,178,82,91,63,56,65,48,24,23,15,20,6,0,0,0,3708,1.62457,7.40426
10.1.4.2,0,0,0,0,17,23,52,41,42,83,108,111,146,141,177,161,183,219,269,216,222,259,196,135,192,134,115,95,87,73,77,44,30,22,12,0,9,10,0,0,3701,1.54536,5.76209
10.1.5.2,0,0,13,24,0,11,6,43,27,102,131,96,114,155,200,156,181,182,210,273,176,175,177,178,192,146,117,117,108,60,63,76,23,29,25,6,11,9,0,0,3612,1.41082,3.54286
10.1.6.2,12,10,16,10,14,0,12,52,59,47,130,87,124,159,178,176,219,191,190,285,297,246,234,161,144,126,104,113,101,44,71,63,20,15,8,0,8,11,0,0,3737,1.38548,1.59201
10.1.7.2,10,17,5,13,8,18,0,36,35,69,106,146,136,165,149,189,201,192,230,204,226,191,261,182,213,130,133,88,88,77,41,45,49,3,8,13,7,0,3,0,3687,1.48192,4.3374
10.1.8.2,0,9,5,15,12,14,40,0,50,97,110,138,91,168,168,197,188,180,179,213,309,202,218,223,185,152,137,125,93,32,26,52,36,9,18,20,0,9,0,0,3720,1.61429,7.20802
10.1.9.2,11,3,0,34,35,24,23,46,0,76,87,93,115,152,155,201,215,207,211,196,276,198,213,222,174,160,134,110,102,56,31,39,31,9,15,19,6,0,4,0,3683,1.6039,7.64445
10.1.10.2,0,3,6,16,22,13,10,32,66,0,62,103,112,139,161,194,240,256,181,265,213,210,237,169,175,162,163,117,106,63,40,59,31,31,13,0,8,0,9,0,3687,1.51303,4.54426
10.1.11.2,6,10,6,6,26,17,17,43,24,73,0,91,141,115,183,221,230,297,224,282,203,225,204,207,197,162,87,72,115,54,71,50,32,19,11,7,15,0,11,0,3754,1.68571,8.83427
10.1.12.2,0,5,9,13,17,25,60,39,28,70,123,0,146,123,211,188,204,257,292,198,225,217,187,220,125,136,138,111,95,76,18,54,33,30,24,9,6,0,5,0,3717,1.60731,7.01415
10.1.13.2,0,9,10,15,18,17,15,48,59,31,72,108,0,157,196,207,225,246,246,313,244,189,212,202,174,112,120,112,87,47,66,55,14,25,28,6,6,3,4,0,3698,1.52306,5.77769
